Incident_ID,schoolaffiliation,age_cat,shooterdied
19800910DCSPW,Student,Teen,No
19800911ALJOM,Teacher,Adult,No
19800926CTBRB,Former Student,Teen,No
19801013ALCET,Student,Teen,No
19801031ALHUH,Student,Teen,Yes
19801117TXEAF,Student,Teen,No
19801212ALPAB,No Relation,Teen,No
19801212OHLOL,Student,Teen,No
19810121OHWIB,Student,Teen,No
19810122MDFRB,Student,Teen,No
19810210ARLIL,Student,Teen,No
19810210CAMAL,Unknown,Teen,No
19810303INMAI,Student,Teen,No
19810328FLDIF,Student,Teen,No
19810402OHALC,Student,Teen,No
19810407MSPOP,Unknown,,No
19810515LANEN,Other Staff,Adult,No
19810901PAWIP,Unknown,,No
19810904NMHOS,Student,Teen,No
19810908FLSTW,Student,,No
19810913MDABA,Police Officer/SRO,Adult,No
19811013CTHAH,Student,Teen,No
19811209NYGEB,Unknown,,No
19811216TXUNH,Student,Teen,No
19811223NYJAB,Student,Teen,No
19820205TNHAM,Unknown,,No
19820208MADOD,Student,Teen,No
19820209LAJON,Former Student,Teen,No
19820209LAJON,Former Student,Teen,No
19820315ORSPS,Student,Teen,Yes
19820317OHLOL,Student,Teen,No
19820319NVVAL,Student,Teen,No
19820407CODEL,Student,Teen,No
19820415MDFOB,Unknown,Teen,No
19820429GARUE,Student,Teen,No
19820430FLANA,Student,Teen,No
19820527NVGAL,Unknown,Teen,No
19820527NVGAL,Unknown,Teen,No
19820527NVGAL,Unknown,Teen,No
19820910VALAB,Former Student,Teen,No
19820915ARSOP,Student,,No
19821101NYELE,Student,Teen,No
19821108MICOD,Student,Teen,No
19821112MSWIJ,Intimate Relationship,Teen,Yes
19821206ALHUH,Student,Teen,Yes
19821220MIFID,Unknown,Adult,No
19830118TXJOH,Student,,Yes
19830120MOPAB,Student,Teen,Yes
19830128MDWIB,Student,Teen,No
19830130TXWEC,Unknown,,No
19830131FLDED,Student,Teen,No
19830201TNRIM,Student,Teen,No
19830202NMALA,Unknown,,No
19830331ILSAC,Student,Child,No
19830421MOBES,Unknown,Adult,No
19830516NYBRN,Former Teacher,Adult,Yes
19830516TXLAD,No Relation,Adult,No
19830518FLNOM,No Relation,Adult,No
19830523OHMAM,Student,Teen,No
19830526PAGRJ,Student,Teen,Yes
19830912CAMAC,Student,Teen,No
19830912CAMAC,Student,Teen,No
19830912MIHED,Student,Teen,No
19830921MDWAB,Student,Teen,No
19830930TXTET,Former Student,Teen,No
19831007CACOL,Gang Member,,No
19831022MDCAB,Unknown,Teen,No
19831108MIHIH,Student,Teen,No
19831117ILJAC,Gang Member,Teen,No
19831118MDHAB,Student,Teen,No
19831202INCRC,Student,Teen,No
19831216ILBOR,Student,Teen,No
19840105MDLAB,Unknown,,No
19840206KYCEL,Student,Teen,No
19840221TXSHH,Student,Teen,No
19840224CA49L,Former Student,Adult,Yes
19840405LACLC,Student,Teen,No
19840420MIPRD,Student,Teen,No
19840426NCROW,Student,Child,No
19840515MTCMG,Student,Teen,No
19840517IASOP,Student,Teen,Yes
19840517TXBOH,Student,Teen,Yes
19840518CANON,Student,Teen,No
19840522OHCLC,Student,Teen,No
19840710MIMUD,No Relation,Adult,No
19840831LABOS,Gang Member,,No
19840928TXMIH,Unknown,,No
19840928TXRIN,Former Student,,No
19841021PAWYE,Unknown,,No
19841022MICED,Student,Teen,No
19841024MISOD,Student,Teen,No
19841024OHWEC,Parent,Adult,No
19841030SCPEP,Intimate Relationship,,No
19841031LAEAG,Student,Teen,No
19841109CTWIN,Student,Teen,No
19841126MDMIR,Unknown,Teen,No
19841207MOEDS,Student,Teen,No
19850118TXARA,Student,Teen,Yes
19850121KSGOG,Student,Teen,No
19850126MASTB,Student,Teen,No
19850205CTAIH,Intimate Relationship,Teen,No
19850416TXMAA,Police Officer/SRO,Adult,No
19850516FLPAB,Student,Teen,No
19850724TXHIH,No Relation,Adult,No
19850904VAEAR,Student,,No
19850909TXWHH,No Relation,Teen,No
19850920TXLAC,Student,Teen,No
19850925OHTRT,Student,Teen,No
19851008MDLAB,Student,Teen,No
19851008MDLAB,Relative,Adult,No
19851008MDLAB,Former Student,Teen,No
19851018MIMUD,Unknown,,No
19851022OHSOG,Police Officer/SRO,Adult,No
19851126WASPS,Student,Teen,Yes
19851127ALCHB,Student,Teen,Yes
19851203NHCOC,Former Student,Teen,Yes
19851209PAARP,No Relation,Adult,No
19851210CTPOP,Student,Teen,No
19860109NCNOD,Student,Teen,No
19860117CAVAL,Student,Teen,No
19860129MDLAB,Student,Teen,No
19860224LABOS,Student,Teen,Yes
19860306ILTHD,Student,Teen,No
19860423FLCHM,Student,Teen,No
19860429MOSES,Student,Teen,No
19860509NCPIF,Student,Teen,No
19860515GACAA,Student,Teen,No
19860516WYCOC,No Relation,Adult,Yes
19860516WYCOC,No Relation,Adult,No
19860517TNMAN,Student,Teen,No
19860912CAFAL,Student,Teen,No
19860918CABEB,Student,Teen,No
19861003CAMOM,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19861003CAMOM,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19861003CAMOM,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19861008TXSOD,Student,Teen,No
19861204MTFEL,Student,Teen,No
19870114CALOL,Student,Teen,No
19870123MIRED,Student,Teen,No
19870210ARDAD,Student,Teen,Yes
19870213AZORM,Student,Teen,No
19870224NYMON,No Relation,Adult,No
19870224NYMON,No Relation,Adult,No
19870302MODED,Student,,Yes
19870306TXRIE,No Relation,Teen,No
19870306TXRIE,No Relation,Adult,No
19870330CAPAS,No Relation,Adult,Yes
19870416MIMUD,Student,Teen,No
19870430ORGRP,Student,Teen,No
19870503INPII,Unknown,Teen,No
19870506ARMAJ,Student,Teen,No
19870506FLLET,Student,Teen,Yes
19870513ILOAO,Student,Teen,No
19870928ILILL,Student,Teen,No
19871014ILDUC,Student,Teen,No
19871030NCSOK,Relative,Teen,No
19871104MISOD,No Relation,,No
19871114FLCLC,Student,Teen,Yes
19871130TXPES,Intimate Relationship,Adult,Yes
19871202FLENJ,Student,Teen,No
19871204NYEAN,Student,Teen,No
19871215NYGRB,Student,Teen,No
19871216TXMAK,Student,Teen,Yes
19880105PASPS,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19880106FLGAT,Student,Teen,No
19880108PACRM,Student,Teen,No
19880120LASIR,Student,Teen,No
19880129TXREA,Student,Teen,No
19880202ALWET,No Relation,Adult,No
19880202ALWET,No Relation,Adult,No
19880211FLPIL,Student,Teen,No
19880211FLPIL,Student,Teen,No
19880226RIBRB,Student,Teen,No
19880304MILED,Student,Teen,No
19880323CACAS,Unknown,,No
19880324TXTRA,Student,Teen,No
19880505ILMAC,Student,Teen,No
19880516FLFOF,Student,Teen,No
19880520ILHUW,Nonstudent,Adult,Yes
19880531NYPUB,No Relation,Adult,No
19880602MSWIJ,Former Student,Adult,No
19880602MSWIJ,Former Student,Adult,No
19880602MSWIJ,Former Student,Adult,No
19880617MIJOD,Student,Teen,No
19880630HIAIO,Student,Teen,No
19880710WISIM,Nonstudent Using Athletic Facilities/Attending Game,Adult,No
19880711MSLAJ,Student,Teen,No
19880831MICED,Former Student,Teen,No
19880831MICED,Former Student,Teen,No
19880831SCWEA,No Relation,Teen,No
19880902GAGLA,Nonstudent Using Athletic Facilities/Attending Game,,No
19880902NCGAC,Student,Teen,No
19880903TXLID,No Relation,Teen,No
19880903TXLID,No Relation,Teen,No
19880903TXLID,No Relation,Teen,No
19880903TXLID,No Relation,Teen,No
19880922ILMOC,No Relation,Adult,Yes
19880926SCOAG,Former Student,Teen,No
19881003FLMAM,Unknown,,No
19881004FLJEJ,Unknown,,No
19881004LAISB,Teacher,Adult,No
19881005MDEDB,Student,Teen,No
19881006ALMOM,Relative,Adult,No
19881007MDSOB,Student,Teen,No
19881007TXDIP,Student,Child,No
