Incident_ID,weapontype,City_Lat,City_Lon
19720412LAEAG,No Data,30.2385294,-90.9200987
19720504NVLIR,Handgun,39.5261206,-119.8126581
19720505INDEI,Handgun,39.7683331,-86.1583502
19720914TXFRH,Handgun,29.8132853,-95.3346658
19720915MISAS,No Data,,
19720919TXCUH,Handgun,29.7589382,-95.3676974
19720921OHTHA,Handgun,41.083064,-81.518485
19721111CAJEL,No Data,34.0536909,-118.242766
19721127MIPOP,No Data,42.6389216,-83.2910468
19721129FLMIM,No Data,,
19730105NCSOS,Handgun,35.7826363,-80.8872959
19730118CAJOL,Handgun,34.0536909,-118.242766
19730131NCCUB,Handgun,36.0956918,-79.4377991
19730212ALBOM,Handgun,,
19730226VAARR,Handgun,37.5535535,-77.4114918
19730405CALOL,Handgun,34.0536909,-118.242766
19730501OHRAY,Handgun,41.1035786,-80.6520161
19730928CAWIL,Handgun,34.0536909,-118.242766
19731002ILELA,Handgun,38.78421,-89.96538
19731019MOBES,No Data,,
19731023MOSUS,Multiple Unknown,38.6280278,-90.1910154
19731023OHBAB,Handgun,41.012833,-81.6051221
19731024MNCEM,Shotgun,44.9772995,-93.2654692
19731031MONOS,Shotgun,38.6280278,-90.1910154
19731108ILWOC,Handgun,41.8755616,-87.6244212
19731109CALOL,No Data,,
19731206CAFRL,Handgun,34.0536909,-118.242766
19731213OHHUC,Handgun,39.1014537,-84.5124602
19740117ILBAC,Handgun,41.8755616,-87.6244212
19740117ILBAC,Handgun,41.8755616,-87.6244212
19740122CALOL,No Data,34.0536909,-118.242766
19740207CAJAO,Handgun,37.8044557,-122.271356
19740322INBRB,Rifle,38.8789426,-86.0419247
19740402CTSTB,Other,,
19740510TNCHR,Handgun,36.407317,-83.0054423
19740519FLHIO,Rifle,28.5421109,-81.3790304
19740923CAJED,Handgun,37.6904826,-122.47267
19740925CASAL,Handgun,,
19741007LADEH,Handgun,29.9765931,-90.4089708
19741021MDDOB,Handgun,39.2908816,-76.610759
19741118SCCAC,No Data,32.76495449,-79.99217081
19741121ARBOL,Handgun,34.7465071,-92.2896267
19741125SCCAC,Handgun,32.76495449,-79.99217081
19741218CAMAL,Handgun,34.0536909,-118.242766
19741230NYOLO,Multiple Unknown,42.0775022,-78.4298248
19750207NYBOM,Handgun,40.7492678,-73.6406845
19750224NJSTP,Shotgun,39.7295581,-75.4679734
19750312TXJOH,Handgun,,
19750318MOSUS,Unknown,38.6280278,-90.1910154
19750321OHPAD,Handgun,39.7589478,-84.1916069
19750321VAFAR,Rifle,37.5535535,-77.4114918
19750515MOROS,Handgun,38.6280278,-90.1910154
19750527MIPID,Rifle,42.3315509,-83.0466403
19750709ILDEC,No Data,41.8755616,-87.6244212
19750711MOCES,Handgun,38.6280278,-90.1910154
19750911OKGRO,Unknown,35.4729886,-97.5170536
19751001NMHEA,Handgun,32.8423345,-104.4032963
19751024GAMUA,Handgun,33.7489924,-84.3902644
19751218CAORS,Rifle,33.7494951,-117.8732213
19760101AZCAP,Rifle,,
19760123OHCOC,Handgun,39.9622601,-83.0007065
19760206FLESP,No Data,30.421309,-87.2169149
19760212MIMUD,Handgun,42.3315509,-83.0466403
19760412TXODF,Handgun,32.753177,-97.3327459
19760513MOMAS,Handgun,38.6280278,-90.1910154
19760514FLPAW,Handgun,26.715364,-80.0532942
19760602MDMTC,No Data,,
19760920NCGUG,Shotgun,36.0726355,-79.7919754
19761110MIBUD,Handgun,42.3315509,-83.0466403
19761210MOFRS,Handgun,38.6280278,-90.1910154
19770113ILOLB,Handgun,41.6573014,-87.679871
19770209ILFEC,Handgun,41.8755616,-87.6244212
19770228MOROS,No Data,38.6280278,-90.1910154
19770228TXHOA,Handgun,35.2072185,-101.833824
19770308ILCOE,Handgun,38.8114364,-89.953157
19770321NYPAH,Rifle,42.716293,-78.828717
19770407TXWHW,Handgun,33.7375948,-102.3271221
19770418TNPIN,Handgun,36.095567,-86.8011251
19770517FLSTC,Rifle,,
19770622ILHOC,No Data,41.8755616,-87.6244212
19770711COSOC,Handgun,,
19771129MOHAS,Rifle,38.6280278,-90.1910154
19771129MOVAS,No Data,38.6280278,-90.1910154
19771209CAPES,Handgun,38.4404925,-122.7141049
19771212FLWEW,Handgun,28.5656649,-81.5856742
19771215MABLC,No Data,,
19780111KYCHH,Handgun,36.8657651,-87.4889532
19780209WVHAS,Handgun,38.37328,-81.84228
19780222MIEVL,Handgun,42.7337712,-84.5553805
19780309CAMOS,Rifle,38.4404925,-122.7141049
19780329TNGAN,Handgun,36.095567,-86.8011251
19780414MIFOD,Handgun,42.3315509,-83.0466403
19780426TXPAD,Handgun,32.7810789,-96.690261
19780428ILRIN,Handgun,,
19780518TXMUA,Rifle,30.2711286,-97.7436995
19780519PADOP,Rifle,,
19780607DEDOD,Handgun,39.158168,-75.5243682
19780610MAWEW,Handgun,42.2212188,-70.9391625
19781017ALLAL,Handgun,32.8687391,-85.1904971
19781017MOUNU,Handgun,38.6569083,-90.3103443
19781129NYPAN,Handgun,40.7127281,-74.0060152
19781214CTWIN,Handgun,41.3082138,-72.9250518
19790129CAGRS,Rifle,32.7174202,-117.1627728
19790314FLMCM,Handgun,25.7741728,-80.19362
19790328CALOL,Handgun,34.0536909,-118.242766
19790416WIWIM,Shotgun,43.0331896,-88.0160292
19790425PAMAH,Rifle,41.3270244,-75.7732488
19790426TXAZA,Handgun,32.8975875,-97.5437799
19790614OHNEN,Handgun,39.9361699,-84.0254913
19790926LACAN,Handgun,29.951065,-90.071533
